v8-version,6,1,534,50,0
code-creation,Stub,3,6364,0x31830b314420,2296,"RecordWriteStub"
code-creation,Stub,3,6371,0x31830b314d20,2292,"RecordWriteStub"
code-creation,Stub,3,6378,0x31830b315620,2254,"RecordWriteStub"
code-creation,Stub,3,6385,0x31830b315f00,2292,"RecordWriteStub"
code-creation,Handler,4,6392,0x31830b316800,256,"An IC handler from the snapshot"
code-creation,Stub,3,6399,0x31830b316900,2291,"RecordWriteStub"
code-creation,Stub,3,6407,0x31830b317200,980,"RecordWriteStub"
code-creation,Stub,3,6414,0x31830b3175e0,2238,"RecordWriteStub"
code-creation,Stub,3,6421,0x31830b317ea0,2266,"RecordWriteStub"
code-creation,Stub,3,6428,0x31830b318780,189,"DoubleToIStub"
code-creation,Stub,3,6435,0x31830b318840,2270,"RecordWriteStub"
code-creation,Handler,4,6442,0x31830b319120,308,"An IC handler from the snapshot"
code-creation,Stub,3,6449,0x31830b319260,2280,"RecordWriteStub"
code-creation,Stub,3,6456,0x31830b319b60,2265,"RecordWriteStub"
code-creation,Stub,3,6464,0x31830b31a440,2229,"RecordWriteStub"
code-creation,Stub,3,6471,0x31830b31ad00,1412,"RecordWriteStub"
code-creation,Stub,3,6478,0x31830b31b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,6493,0x31830b31bbc0,978,"RecordWriteStub"
code-creation,Stub,3,6500,0x31830b31bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,6507,0x31830b31c880,2266,"RecordWriteStub"
code-creation,Stub,3,6513,0x31830b31d160,2296,"RecordWriteStub"
code-creation,Stub,3,6520,0x31830b31da60,978,"RecordWriteStub"
code-creation,Stub,3,6527,0x31830b31de40,2250,"RecordWriteStub"
code-creation,Stub,3,6533,0x31830b31e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,6540,0x31830b31e900,183,"DoubleToIStub"
code-creation,Stub,3,6547,0x31830b31e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,6553,0x31830b31f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,6560,0x31830b31fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,6567,0x31830b3204a0,2242,"RecordWriteStub"
code-creation,Stub,3,6573,0x31830b320d80,980,"RecordWriteStub"
code-creation,Handler,4,6580,0x31830b321160,780,"An IC handler from the snapshot"
code-creation,Stub,3,6587,0x31830b321480,2265,"RecordWriteStub"
code-creation,Stub,3,6594,0x31830b321d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,6600,0x31830b321f60,2292,"RecordWriteStub"
code-creation,Stub,3,6607,0x31830b322860,2269,"RecordWriteStub"
code-creation,Stub,3,6614,0x31830b323140,974,"RecordWriteStub"
code-creation,Stub,3,6621,0x31830b323520,2280,"RecordWriteStub"
code-creation,Stub,3,6627,0x31830b323e20,2275,"RecordWriteStub"
code-creation,Stub,3,6634,0x31830b324720,2296,"RecordWriteStub"
code-creation,Stub,3,6641,0x31830b325020,2254,"RecordWriteStub"
code-creation,Stub,3,6647,0x31830b325900,2254,"RecordWriteStub"
code-creation,Stub,3,6654,0x31830b3261e0,591,"StringAddStub"
code-creation,Stub,3,6661,0x31830b326440,1872,"StringAddStub"
code-creation,Builtin,5,6668,0x31830b326ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,6674,0x31830b326ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,6681,0x31830b327440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,6688,0x31830b327540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,6695,0x31830b3276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,6701,0x31830b327800,2238,"RecordWriteStub"
code-creation,Stub,3,6708,0x31830b3280c0,2300,"RecordWriteStub"
code-creation,Stub,3,6715,0x31830b3289c0,2245,"RecordWriteStub"
code-creation,Stub,3,6721,0x31830b3292a0,2291,"RecordWriteStub"
code-creation,Stub,3,6728,0x31830b329ba0,2270,"RecordWriteStub"
code-creation,Stub,3,6734,0x31830b32a480,2254,"RecordWriteStub"
code-creation,Stub,3,6741,0x31830b32ad60,2285,"RecordWriteStub"
code-creation,Handler,4,6761,0x31830b32b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,6768,0x31830b32b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,6786,0x31830b32baa0,2296,"RecordWriteStub"
tick,0x7fff7fdac0a0,6801,0,0x0,4
code-creation,Stub,3,6826,0x31830b32c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,6835,0x31830b32cc60,2254,"RecordWriteStub"
code-creation,Stub,3,6842,0x31830b32d540,1391,"RecordWriteStub"
code-creation,Stub,3,6849,0x31830b32dac0,2242,"RecordWriteStub"
code-creation,Stub,3,6855,0x31830b32e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,6862,0x31830b32eca0,183,"DoubleToIStub"
code-creation,Stub,3,6869,0x31830b32ed60,2266,"RecordWriteStub"
code-creation,Stub,3,6875,0x31830b32f640,2308,"RecordWriteStub"
code-creation,Handler,4,6882,0x31830b32ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,6898,0x31830b330280,256,"An IC handler from the snapshot"
code-creation,Stub,3,6904,0x31830b330380,2238,"RecordWriteStub"
code-creation,Stub,3,6911,0x31830b330c40,2266,"RecordWriteStub"
code-creation,Handler,4,6917,0x31830b331520,296,"An IC handler from the snapshot"
code-creation,Stub,3,6924,0x31830b331660,1412,"RecordWriteStub"
code-creation,Stub,3,6930,0x31830b331c00,2269,"RecordWriteStub"
code-creation,Stub,3,6937,0x31830b3324e0,2250,"RecordWriteStub"
code-creation,Stub,3,6943,0x31830b332dc0,3405,"SubStringStub"
code-creation,Stub,3,6950,0x31830b333b20,183,"DoubleToIStub"
code-creation,Stub,3,6956,0x31830b333be0,387,"CreateWeakCellStub"
code-creation,Handler,4,6963,0x31830b333d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,6969,0x31830b334040,1416,"RecordWriteStub"
code-creation,Stub,3,6975,0x31830b3345e0,2257,"RecordWriteStub"
code-creation,Stub,3,6982,0x31830b334ec0,365,"CEntryStub"
code-creation,Stub,3,6989,0x31830b335040,2238,"RecordWriteStub"
code-creation,Stub,3,6995,0x31830b335900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,7002,0x31830b335ae0,2272,"RecordWriteStub"
code-creation,Stub,3,7008,0x31830b3363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7015,0x31830b336500,357,"MathPowStub"
code-creation,Handler,4,7022,0x31830b336680,744,"An IC handler from the snapshot"
code-creation,Stub,3,7028,0x31830b336980,427,"CallApiGetterStub"
code-creation,Stub,3,7035,0x31830b336b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,7042,0x31830b336c80,2276,"RecordWriteStub"
code-creation,Stub,3,7048,0x31830b337580,2284,"RecordWriteStub"
code-creation,Stub,3,7054,0x31830b337e80,2254,"RecordWriteStub"
code-creation,Stub,3,7061,0x31830b338760,615,"StringAddStub"
code-creation,Stub,3,7067,0x31830b3389e0,375,"NumberToStringStub"
code-creation,Stub,3,7074,0x31830b338b60,980,"RecordWriteStub"
code-creation,Stub,3,7080,0x31830b338f40,2263,"RecordWriteStub"
code-creation,Handler,4,7087,0x31830b339820,296,"An IC handler from the snapshot"
code-creation,Stub,3,7094,0x31830b339960,2307,"RecordWriteStub"
code-creation,Stub,3,7100,0x31830b33a280,2254,"RecordWriteStub"
code-creation,Stub,3,7107,0x31830b33ab60,185,"DoubleToIStub"
code-creation,Stub,3,7113,0x31830b33ac20,2283,"RecordWriteStub"
code-creation,Stub,3,7120,0x31830b33b520,978,"RecordWriteStub"
code-creation,Stub,3,7126,0x31830b33b900,2257,"RecordWriteStub"
code-creation,Stub,3,7133,0x31830b33c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,7139,0x31830b33cae0,2241,"RecordWriteStub"
code-creation,Stub,3,7146,0x31830b33d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,7152,0x31830b33dcc0,972,"RecordWriteStub"
code-creation,Stub,3,7159,0x31830b33e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,7165,0x31830b33e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,7172,0x31830b33eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,7178,0x31830b33ee00,974,"RecordWriteStub"
code-creation,Stub,3,7185,0x31830b33f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,7191,0x31830b33fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,7198,0x31830b33fc00,2242,"RecordWriteStub"
code-creation,Stub,3,7204,0x31830b3404e0,2241,"RecordWriteStub"
code-creation,Stub,3,7228,0x31830b340dc0,980,"RecordWriteStub"
code-creation,Stub,3,7235,0x31830b3411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,7241,0x31830b341280,2266,"RecordWriteStub"
code-creation,Stub,3,7248,0x31830b341b60,183,"DoubleToIStub"
code-creation,Stub,3,7254,0x31830b341c20,2241,"RecordWriteStub"
code-creation,Stub,3,7261,0x31830b342500,986,"RecordWriteStub"
code-creation,Stub,3,7267,0x31830b3428e0,2242,"RecordWriteStub"
code-creation,Stub,3,7274,0x31830b3431c0,2269,"RecordWriteStub"
code-creation,Stub,3,7280,0x31830b343aa0,2270,"RecordWriteStub"
code-creation,Stub,3,7287,0x31830b344380,2270,"RecordWriteStub"
code-creation,Stub,3,7293,0x31830b344c60,2253,"RecordWriteStub"
